,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Formation,Play
26557,2,13,2,HOU,TEN,2,9,77,SHOTGUN,PASS
26558,2,12,19,HOU,TEN,3,9,77,SHOTGUN,PASS
26559,2,11,39,HOU,TEN,4,6,80,FIELD GOAL,KICK
26561,2,11,28,TEN,HOU,1,10,9,UNDER CENTER,RUSH
26562,2,10,46,TEN,HOU,2,11,8,UNDER CENTER,RUSH
26563,2,10,6,TEN,HOU,3,5,14,SHOTGUN,PASS
26564,2,9,58,TEN,HOU,4,5,14,PUNT,KICK
26565,2,9,45,HOU,TEN,1,10,34,UNDER CENTER,RUSH
26566,2,9,14,HOU,TEN,2,10,34,UNDER CENTER,PASS
26567,2,8,35,HOU,TEN,3,4,40,SHOTGUN,PASS
26568,3,5,1,MIA,NYG,1,10,20,UNDER CENTER,RUSH
26569,2,8,29,HOU,TEN,1,10,45,UNDER CENTER,RUSH
26570,2,8,1,HOU,TEN,1,20,35,SHOTGUN,RUSH
26571,2,7,32,HOU,TEN,1,30,25,SHOTGUN,PASS
26572,2,6,57,HOU,TEN,2,24,31,SHOTGUN,PASS
26573,2,6,16,HOU,TEN,3,15,40,SHOTGUN,PASS
26574,2,5,43,HOU,TEN,4,3,52,PUNT,KICK
26575,2,5,32,TEN,HOU,1,10,20,SHOTGUN,PASS
26576,2,4,52,TEN,HOU,2,1,29,UNDER CENTER,PASS
26577,2,4,30,TEN,HOU,1,10,44,UNDER CENTER,RUSH
26578,2,3,55,TEN,HOU,2,3,51,UNDER CENTER,PASS
26580,2,3,47,TEN,HOU,3,3,51,SHOTGUN,PASS
26581,2,3,42,TEN,HOU,4,3,51,PUNT,KICK
26582,2,3,34,HOU,TEN,1,10,10,SHOTGUN,RUSH
26583,2,2,57,HOU,TEN,2,7,13,UNDER CENTER,RUSH
26585,2,2,11,HOU,TEN,3,7,13,SHOTGUN,PASS
26587,2,2,5,HOU,TEN,4,15,5,PUNT,KICK
26588,2,1,50,TEN,HOU,1,10,72,SHOTGUN,PASS
26589,2,1,10,TEN,HOU,2,16,66,SHOTGUN,PASS
26590,2,0,54,TEN,HOU,3,29,53,SHOTGUN,PASS
26591,2,0,49,TEN,HOU,4,29,53,PUNT,KICK
26592,2,0,42,HOU,TEN,1,10,11,SHOTGUN,PASS
26594,2,0,32,HOU,TEN,2,17,4,UNDER CENTER,RUSH
26597,3,14,54,TEN,HOU,1,10,25,UNDER CENTER,PASS
26598,3,14,15,TEN,HOU,1,10,43,SHOTGUN,RUSH
26599,3,13,32,TEN,HOU,2,9,44,SHOTGUN,PASS
26600,3,12,59,TEN,HOU,2,9,44,SHOTGUN,PASS
26601,3,12,19,TEN,HOU,3,8,45,SHOTGUN,PASS
26602,3,11,39,TEN,HOU,4,15,38,PUNT,KICK
26603,3,11,30,HOU,TEN,1,10,7,UNDER CENTER,RUSH
26604,3,10,52,HOU,TEN,2,8,9,SHOTGUN,PASS
26605,3,10,27,HOU,TEN,1,10,18,UNDER CENTER,RUSH
26606,3,9,52,HOU,TEN,2,3,25,UNDER CENTER,PASS
26607,3,9,45,HOU,TEN,3,18,10,SHOTGUN,PASS
26608,3,9,16,HOU,TEN,4,7,21,PUNT,KICK
26609,3,9,3,TEN,HOU,1,10,30,UNDER CENTER,PASS
26610,3,8,29,TEN,HOU,1,10,40,UNDER CENTER,RUSH
26611,3,7,51,TEN,HOU,1,10,68,UNDER CENTER,RUSH
26612,3,7,6,TEN,HOU,2,10,68,SHOTGUN,PASS
26613,3,6,47,TEN,HOU,3,13,65,SHOTGUN,PASS
26615,3,5,58,TEN,HOU,4,4,74,FIELD GOAL,KICK
26617,3,5,54,HOU,TEN,1,10,20,UNDER CENTER,PASS
26618,3,5,37,HOU,TEN,1,10,32,UNDER CENTER,PASS
26619,3,5,30,HOU,TEN,2,10,32,SHOTGUN,PASS
26620,3,4,17,HOU,TEN,1,10,47,UNDER CENTER,PASS
26621,3,3,47,HOU,TEN,1,10,58,UNDER CENTER,PASS
26624,3,3,31,TEN,HOU,1,10,28,SHOTGUN,PASS
26625,3,2,57,TEN,HOU,2,3,35,UNDER CENTER,RUSH
26626,3,2,18,TEN,HOU,1,10,38,UNDER CENTER,PASS
26627,3,1,40,TEN,HOU,2,1,47,SHOTGUN,RUSH
26628,3,1,1,TEN,HOU,1,10,50,UNDER CENTER,RUSH
26629,3,0,18,TEN,HOU,2,2,58,UNDER CENTER,PASS
26630,4,15,0,TEN,HOU,3,10,50,SHOTGUN,PASS
26631,4,14,52,HOU,TEN,1,10,53,UNDER CENTER,RUSH
26632,4,14,17,HOU,TEN,2,8,55,SHOTGUN,PASS
26633,4,14,10,HOU,TEN,3,8,55,SHOTGUN,PASS
26634,4,14,5,HOU,TEN,4,8,55,PUNT,KICK
26635,4,13,57,TEN,HOU,1,10,11,UNDER CENTER,PASS
26636,4,13,49,HOU,TEN,1,10,90,SHOTGUN,PASS
26637,4,13,44,HOU,TEN,2,10,90,SHOTGUN,RUSH
26638,4,12,37,HOU,TEN,4,6,94,FIELD GOAL,KICK
26640,4,12,33,TEN,HOU,1,10,20,SHOTGUN,PASS
26641,4,12,8,TEN,HOU,1,10,46,SHOTGUN,PASS
26642,4,11,24,TEN,HOU,2,16,40,SHOTGUN,PASS
26643,4,10,38,TEN,HOU,3,8,48,SHOTGUN,PASS
26644,4,9,58,TEN,HOU,4,17,39,PUNT,KICK
26645,4,9,48,HOU,TEN,1,10,20,UNDER CENTER,RUSH
26646,4,9,13,HOU,TEN,2,5,25,UNDER CENTER,RUSH
26647,4,8,49,HOU,TEN,1,10,33,UNDER CENTER,RUSH
26648,4,8,18,HOU,TEN,2,10,33,SHOTGUN,PASS
26649,4,7,37,HOU,TEN,3,16,27,SHOTGUN,PASS
26650,4,7,30,HOU,TEN,4,16,27,PUNT,KICK
26652,4,7,18,TEN,HOU,1,15,20,SHOTGUN,PASS
26653,4,6,54,TEN,HOU,2,2,33,SHOTGUN,PASS
26654,4,6,36,TEN,HOU,1,10,40,NO HUDDLE SHOTGUN,RUSH
26655,4,6,13,TEN,HOU,2,8,42,SHOTGUN,PASS
26656,4,5,46,TEN,HOU,1,10,51,NO HUDDLE SHOTGUN,PASS
26657,4,5,41,TEN,HOU,2,10,51,SHOTGUN,PASS
26658,4,5,27,TEN,HOU,3,19,42,SHOTGUN,PASS
26659,4,4,41,TEN,HOU,4,4,57,SHOTGUN,PASS
26660,4,4,37,HOU,TEN,1,10,43,UNDER CENTER,RUSH
26661,4,4,28,HOU,TEN,1,10,49,UNDER CENTER,RUSH
26662,4,3,52,HOU,TEN,2,6,53,UNDER CENTER,RUSH
26663,4,3,12,HOU,TEN,3,3,56,SHOTGUN,PASS
26664,4,2,31,HOU,TEN,1,10,69,UNDER CENTER,RUSH
26666,4,2,0,HOU,TEN,2,10,69,UNDER CENTER,RUSH
26668,4,1,53,HOU,TEN,3,9,70,UNDER CENTER,RUSH
26670,4,1,8,HOU,TEN,4,7,72,UNDER CENTER,RUSH
26671,4,1,2,TEN,HOU,1,10,24,SHOTGUN,PASS
26672,4,0,43,TEN,HOU,1,10,34,NO HUDDLE SHOTGUN,PASS
26673,4,0,37,TEN,HOU,2,10,34,SHOTGUN,PASS
26676,1,15,0,MIN,CHI,1,10,20,UNDER CENTER,RUSH
26677,1,14,22,MIN,CHI,2,4,26,SHOTGUN,PASS
26678,1,14,17,MIN,CHI,3,4,26,SHOTGUN,PASS
26679,1,13,29,CHI,MIN,2,3,54,SHOTGUN,RUSH
26680,1,12,57,CHI,MIN,1,10,59,SHOTGUN,RUSH
26681,1,12,25,CHI,MIN,2,7,62,SHOTGUN,PASS
26682,1,11,45,CHI,MIN,3,5,64,SHOTGUN,PASS
26683,1,11,3,CHI,MIN,4,5,64,FIELD GOAL,KICK
26686,1,10,51,MIN,CHI,1,10,19,UNDER CENTER,RUSH
26687,1,10,16,MIN,CHI,2,2,27,UNDER CENTER,RUSH
26688,1,9,38,MIN,CHI,1,10,30,UNDER CENTER,RUSH
26689,1,9,4,MIN,CHI,2,9,31,SHOTGUN,PASS
26690,1,8,25,MIN,CHI,3,3,37,SHOTGUN,PASS
26691,1,7,38,MIN,CHI,1,10,53,UNDER CENTER,PASS
26692,1,7,28,MIN,CHI,2,10,53,SHOTGUN,RUSH
26693,1,6,43,MIN,CHI,3,7,56,SHOTGUN,PASS
26694,1,6,6,MIN,CHI,4,11,52,PUNT,KICK
26695,1,5,58,CHI,MIN,1,10,16,SHOTGUN,RUSH
26696,1,5,14,CHI,MIN,2,7,19,SHOTGUN,RUSH
26700,1,3,37,CHI,MIN,1,10,20,UNDER CENTER,RUSH
26701,1,2,54,CHI,MIN,1,10,34,UNDER CENTER,RUSH
26702,1,2,15,CHI,MIN,2,11,33,UNDER CENTER,RUSH
26703,1,1,33,CHI,MIN,3,11,33,NO HUDDLE SHOTGUN,PASS
26704,1,1,0,CHI,MIN,4,9,35,PUNT,KICK
26705,1,0,51,MIN,CHI,1,10,24,UNDER CENTER,RUSH
26706,1,0,13,MIN,CHI,2,9,25,UNDER CENTER,RUSH
26709,2,14,59,MIN,CHI,3,11,23,SHOTGUN,PASS
26710,2,14,17,MIN,CHI,1,10,35,UNDER CENTER,PASS
26711,2,13,36,MIN,CHI,2,1,44,UNDER CENTER,RUSH
26712,2,12,57,MIN,CHI,1,10,55,UNDER CENTER,PASS
26713,2,12,13,MIN,CHI,2,6,59,UNDER CENTER,RUSH
26714,2,11,29,MIN,CHI,1,10,68,UNDER CENTER,RUSH
26715,2,10,52,MIN,CHI,1,10,80,UNDER CENTER,RUSH
26717,2,9,55,MIN,CHI,2,13,77,SHOTGUN,PASS
26718,2,9,49,MIN,CHI,3,13,77,SHOTGUN,PASS
26719,2,9,11,MIN,CHI,4,15,75,FIELD GOAL,KICK
26722,2,8,58,CHI,MIN,1,10,22,UNDER CENTER,RUSH
26723,2,8,34,CHI,MIN,1,20,12,SHOTGUN,PASS
26724,2,7,46,CHI,MIN,2,20,12,SHOTGUN,PASS
26725,2,7,8,CHI,MIN,3,13,19,NO HUDDLE SHOTGUN,PASS
26726,2,7,2,CHI,MIN,4,13,19,PUNT,KICK
26727,2,6,53,MIN,CHI,1,10,37,UNDER CENTER,RUSH
26728,2,6,13,MIN,CHI,1,10,49,UNDER CENTER,RUSH
26729,2,5,37,MIN,CHI,2,7,52,NO HUDDLE,RUSH
26731,2,4,51,MIN,CHI,3,2,57,UNDER CENTER,RUSH
26732,2,4,22,MIN,CHI,4,4,55,PUNT,KICK
26733,2,4,15,CHI,MIN,1,10,13,UNDER CENTER,RUSH
26734,2,3,42,CHI,MIN,2,7,16,NO HUDDLE SHOTGUN,PASS
26735,2,3,5,CHI,MIN,2,15,8,SHOTGUN,PASS
26736,2,2,29,CHI,MIN,1,10,43,UNDER CENTER,PASS
26737,2,2,23,CHI,MIN,2,10,43,SHOTGUN,RUSH
26738,2,2,0,CHI,MIN,3,7,46,SHOTGUN,PASS
26740,2,1,55,CHI,MIN,4,7,46,PUNT,KICK
26741,2,1,46,MIN,CHI,1,10,16,UNDER CENTER,RUSH
26742,2,1,21,MIN,CHI,1,10,32,NO HUDDLE SHOTGUN,PASS
26743,2,1,18,MIN,CHI,2,10,32,SHOTGUN,PASS
26744,2,1,13,MIN,CHI,3,10,32,SHOTGUN,PASS
26745,2,1,1,CHI,MIN,1,10,66,SHOTGUN,PASS
26746,2,0,56,CHI,MIN,2,10,66,SHOTGUN,PASS
26748,2,0,49,CHI,MIN,1,10,79,SHOTGUN,PASS
26751,2,0,38,MIN,CHI,1,10,29,UNDER CENTER,RUSH
26754,3,14,54,CHI,MIN,1,10,17,SHOTGUN,RUSH
26755,3,14,9,CHI,MIN,2,5,22,SHOTGUN,PASS
26756,3,13,27,CHI,MIN,1,10,29,UNDER CENTER,RUSH
26757,3,12,45,CHI,MIN,2,9,30,NO HUDDLE,PASS
26758,3,11,58,CHI,MIN,3,6,33,NO HUDDLE SHOTGUN,PASS
26759,3,10,38,CHI,MIN,1,10,64,NO HUDDLE SHOTGUN,RUSH
26760,3,10,4,CHI,MIN,2,1,73,NO HUDDLE SHOTGUN,RUSH
26761,3,9,22,CHI,MIN,1,10,77,NO HUDDLE SHOTGUN,PASS
26762,3,9,18,CHI,MIN,2,10,77,NO HUDDLE SHOTGUN,PASS
26764,3,8,37,CHI,MIN,3,2,85,SHOTGUN,PASS
26765,3,8,33,CHI,MIN,4,2,85,FIELD GOAL,KICK
26768,3,8,28,MIN,CHI,1,10,20,UNDER CENTER,RUSH
26769,3,7,50,MIN,CHI,2,7,23,SHOTGUN,PASS
26770,3,7,47,MIN,CHI,3,7,23,SHOTGUN,PASS
26771,3,7,7,MIN,CHI,1,10,35,UNDER CENTER,PASS
26772,3,6,47,MIN,CHI,1,10,52,UNDER CENTER,RUSH
26773,3,6,16,MIN,CHI,1,20,42,UNDER CENTER,PASS
26774,3,5,45,MIN,CHI,2,5,57,UNDER CENTER,PASS
26775,3,5,40,MIN,CHI,3,5,57,SHOTGUN,PASS
26777,3,5,34,MIN,CHI,4,5,57,PUNT,KICK
26778,3,5,25,CHI,MIN,1,10,12,SHOTGUN,RUSH
26779,3,4,51,CHI,MIN,2,6,16,NO HUDDLE SHOTGUN,PASS
26780,3,4,9,CHI,MIN,1,10,31,NO HUDDLE SHOTGUN,PASS
26781,3,4,4,CHI,MIN,2,10,31,SHOTGUN,RUSH
26782,3,3,16,CHI,MIN,3,6,35,NO HUDDLE SHOTGUN,PASS
26783,3,2,49,CHI,MIN,1,10,63,NO HUDDLE SHOTGUN,PASS
26784,3,2,43,CHI,MIN,2,10,63,SHOTGUN,RUSH
26785,3,2,0,CHI,MIN,3,6,67,NO HUDDLE SHOTGUN,PASS
26786,3,1,57,CHI,MIN,4,6,67,FIELD GOAL,KICK
26787,3,1,52,MIN,CHI,1,10,41,UNDER CENTER,PASS
26788,3,1,18,MIN,CHI,2,5,46,UNDER CENTER,RUSH
26790,3,0,59,MIN,CHI,1,10,51,UNDER CENTER,RUSH
26791,3,0,22,MIN,CHI,2,3,58,UNDER CENTER,RUSH
26793,4,15,0,MIN,CHI,3,3,58,SHOTGUN,PASS
26794,4,14,29,MIN,CHI,1,10,66,UNDER CENTER,RUSH
26795,4,13,46,MIN,CHI,2,6,70,SHOTGUN,PASS
26796,4,13,39,MIN,CHI,3,6,70,SHOTGUN,PASS
26797,4,5,4,MIA,NYG,3,11,51,SHOTGUN,PASS
26798,4,13,34,MIN,CHI,4,6,70,FIELD GOAL,KICK
26800,4,13,23,CHI,MIN,1,10,26,UNDER CENTER,RUSH
26801,4,12,38,CHI,MIN,2,4,32,UNDER CENTER,RUSH
26802,4,11,14,CHI,MIN,2,11,36,SHOTGUN,RUSH
26803,4,10,25,CHI,MIN,3,8,39,SHOTGUN,PASS
26804,4,9,43,CHI,MIN,1,10,58,UNDER CENTER,RUSH
26805,4,8,57,CHI,MIN,2,8,60,UNDER CENTER,PASS
26806,4,8,51,CHI,MIN,3,8,60,SHOTGUN,PASS
26807,4,8,3,CHI,MIN,4,1,67,SHOTGUN,PASS
26809,4,7,31,CHI,MIN,1,10,72,SHOTGUN,RUSH
26810,4,6,57,CHI,MIN,2,6,76,SHOTGUN,RUSH
26811,4,6,26,CHI,MIN,1,10,83,SHOTGUN,PASS
26812,4,5,46,CHI,MIN,1,6,94,NO HUDDLE SHOTGUN,RUSH
26815,4,4,49,MIN,CHI,1,10,16,UNDER CENTER,PASS
26816,4,4,14,MIN,CHI,2,17,9,SHOTGUN,PASS
26817,4,3,34,MIN,CHI,1,10,28,SHOTGUN,PASS
26818,4,2,54,MIN,CHI,2,9,29,SHOTGUN,PASS
26820,4,2,26,MIN,CHI,1,10,49,SHOTGUN,PASS
26821,4,2,12,MIN,CHI,2,10,54,SHOTGUN,PASS
26823,4,2,0,MIN,CHI,3,4,60,SHOTGUN,PASS
26826,4,1,49,CHI,MIN,1,10,20,SHOTGUN,PASS
26827,4,1,23,CHI,MIN,2,5,25,NO HUDDLE SHOTGUN,PASS
26828,4,1,17,CHI,MIN,3,5,25,SHOTGUN,PASS
26829,4,1,10,CHI,MIN,4,5,25,PUNT,KICK
26830,4,1,0,MIN,CHI,1,10,34,SHOTGUN,PASS
26831,4,0,36,MIN,CHI,2,6,38,NO HUDDLE SHOTGUN,PASS
26833,4,0,27,MIN,CHI,1,10,73,UNDER CENTER,RUSH
26836,4,0,4,MIN,CHI,2,1,82,FIELD GOAL,KICK
26838,1,14,54,ATL,TB,1,10,26,UNDER CENTER,PASS
26839,1,14,17,ATL,TB,2,1,35,UNDER CENTER,PASS
26841,1,14,12,ATL,TB,3,6,30,SHOTGUN,PASS
26842,1,13,2,ATL,TB,1,10,54,UNDER CENTER,RUSH
26843,1,12,29,ATL,TB,2,8,56,UNDER CENTER,PASS
26845,1,11,54,ATL,TB,1,10,77,SHOTGUN,PASS
26846,1,11,19,ATL,TB,2,4,83,UNDER CENTER,RUSH
26847,1,10,38,ATL,TB,3,2,85,SHOTGUN,RUSH
26848,1,10,8,ATL,TB,4,1,86,UNDER CENTER,RUSH
26849,1,9,42,ATL,TB,1,6,94,UNDER CENTER,RUSH
26850,1,9,2,ATL,TB,2,6,94,SHOTGUN,PASS
26851,1,8,44,ATL,TB,2,3,97,SHOTGUN,RUSH
26852,1,8,4,ATL,TB,3,3,97,SHOTGUN,PASS
26853,1,7,58,ATL,TB,4,3,97,FIELD GOAL,KICK
26855,1,7,54,TB,ATL,1,10,20,UNDER CENTER,RUSH
26856,1,7,15,TB,ATL,2,8,22,UNDER CENTER,RUSH
26857,1,6,34,TB,ATL,3,4,26,SHOTGUN,PASS
26858,1,6,27,TB,ATL,1,10,31,UNDER CENTER,RUSH
26859,1,5,47,TB,ATL,1,10,49,UNDER CENTER,RUSH
26860,1,5,7,TB,ATL,2,5,54,UNDER CENTER,RUSH
26861,1,2,16,TB,ATL,2,9,80,SHOTGUN,PASS
26862,1,2,12,TB,ATL,3,9,80,SHOTGUN,PASS
26863,1,2,8,TB,ATL,4,9,80,FIELD GOAL,KICK
26865,1,2,3,ATL,TB,1,10,20,UNDER CENTER,PASS
26866,1,1,23,ATL,TB,1,10,37,UNDER CENTER,RUSH
26867,1,0,49,ATL,TB,2,4,43,UNDER CENTER,RUSH
26868,1,0,23,ATL,TB,3,8,39,SHOTGUN,PASS
26869,2,15,0,ATL,TB,1,10,51,UNDER CENTER,RUSH
26870,2,14,22,ATL,TB,2,3,58,UNDER CENTER,RUSH
26871,2,11,15,ATL,TB,2,7,80,UNDER CENTER,RUSH
26872,2,10,36,ATL,TB,3,7,80,SHOTGUN,PASS
26873,2,9,50,ATL,TB,1,6,94,UNDER CENTER,RUSH
26874,2,9,10,ATL,TB,2,4,96,SHOTGUN,RUSH
26875,2,9,4,TB,ATL,1,10,22,UNDER CENTER,PASS
26876,2,8,46,TB,ATL,1,10,35,UNDER CENTER,RUSH
26877,2,8,7,TB,ATL,2,9,36,SHOTGUN,PASS
26878,2,7,18,TB,ATL,1,10,49,UNDER CENTER,PASS
26879,2,6,27,TB,ATL,1,10,77,UNDER CENTER,RUSH
26880,2,5,48,TB,ATL,2,3,84,UNDER CENTER,RUSH
26881,2,5,1,TB,ATL,1,10,88,UNDER CENTER,RUSH
26882,2,4,41,TB,ATL,2,12,86,SHOTGUN,PASS
26883,2,4,35,TB,ATL,3,12,86,SHOTGUN,PASS
26884,2,3,36,TB,ATL,4,3,95,FIELD GOAL,KICK
26886,2,3,32,ATL,TB,1,10,20,UNDER CENTER,RUSH
26887,2,2,57,ATL,TB,1,10,40,UNDER CENTER,PASS
26888,2,2,40,ATL,TB,1,5,45,UNDER CENTER,RUSH
26889,2,2,18,ATL,TB,1,10,51,SHOTGUN,PASS
26891,2,2,0,ATL,TB,1,20,41,SHOTGUN,PASS
26892,2,1,54,ATL,TB,1,15,46,SHOTGUN,PASS
26893,2,1,33,ATL,TB,2,5,56,SHOTGUN,PASS
26894,2,1,31,ATL,TB,3,5,56,SHOTGUN,PASS
26895,2,1,23,TB,ATL,1,10,50,UNDER CENTER,RUSH
26896,2,1,17,TB,ATL,2,3,57,SHOTGUN,PASS
26897,2,0,53,TB,ATL,1,10,63,SHOTGUN,PASS
26898,2,0,50,TB,ATL,2,10,63,SHOTGUN,PASS
26900,2,0,43,TB,ATL,3,14,59,SHOTGUN,PASS
26902,2,0,35,TB,ATL,1,10,80,SHOTGUN,PASS
26905,2,0,30,ATL,TB,1,10,20,SHOTGUN,PASS
26906,3,14,18,TB,ATL,3,9,21,SHOTGUN,PASS
26907,3,14,11,TB,ATL,4,9,21,PUNT,KICK
26908,3,13,57,ATL,TB,1,10,50,UNDER CENTER,RUSH
26909,3,13,21,ATL,TB,2,10,50,UNDER CENTER,PASS
26910,3,12,39,ATL,TB,3,3,57,SHOTGUN,PASS
26911,3,12,12,ATL,TB,1,10,63,UNDER CENTER,RUSH
26912,3,11,30,ATL,TB,2,3,70,SHOTGUN,RUSH
26913,3,10,49,ATL,TB,3,1,72,UNDER CENTER,PASS
26914,3,10,8,ATL,TB,1,10,80,SHOTGUN,RUSH
26915,3,10,2,TB,ATL,1,10,24,UNDER CENTER,RUSH
26916,3,9,23,TB,ATL,2,1,33,UNDER CENTER,RUSH
26917,3,8,50,TB,ATL,2,10,24,SHOTGUN,PASS
26918,3,8,23,TB,ATL,3,6,28,SHOTGUN,PASS
26919,3,8,19,TB,ATL,1,10,36,UNDER CENTER,PASS
26920,3,6,53,TB,ATL,1,2,98,UNDER CENTER,RUSH
26921,3,6,14,TB,ATL,2,4,96,UNDER CENTER,PASS
26922,3,6,11,TB,ATL,3,4,96,SHOTGUN,RUSH
26925,3,6,6,ATL,TB,1,10,20,UNDER CENTER,PASS
26926,3,5,24,ATL,TB,2,6,24,SHOTGUN,PASS
26927,3,4,41,ATL,TB,1,10,35,SHOTGUN,PASS
26928,3,4,7,ATL,TB,1,10,47,SHOTGUN,PASS
26929,3,3,32,ATL,TB,2,1,56,UNDER CENTER,PASS
26930,3,2,48,ATL,TB,1,10,64,UNDER CENTER,RUSH
26931,3,2,25,ATL,TB,1,10,78,UNDER CENTER,RUSH
26932,3,1,52,ATL,TB,2,7,81,SHOTGUN,PASS
26933,3,1,16,ATL,TB,1,10,90,SHOTGUN,PASS
26934,3,0,54,ATL,TB,1,25,75,SHOTGUN,PASS
26935,3,0,19,ATL,TB,2,7,93,UNDER CENTER,PASS
26937,3,0,15,TB,ATL,1,10,20,UNDER CENTER,PASS
26939,3,0,9,TB,ATL,2,15,15,UNDER CENTER,PASS
26940,4,15,0,TB,ATL,1,10,32,UNDER CENTER,RUSH
26941,4,14,17,TB,ATL,2,9,33,SHOTGUN,PASS
26942,4,13,35,TB,ATL,3,4,38,SHOTGUN,PASS
26943,4,13,30,TB,ATL,1,10,43,UNDER CENTER,RUSH
26944,4,13,1,TB,ATL,2,12,41,SHOTGUN,PASS
26945,4,12,57,TB,ATL,3,12,41,SHOTGUN,PASS
26946,4,12,17,TB,ATL,4,9,44,PUNT,KICK
26947,4,12,7,ATL,TB,1,10,17,SHOTGUN,PASS
26948,4,11,32,ATL,TB,2,6,21,SHOTGUN,PASS
26949,4,10,53,ATL,TB,3,2,25,SHOTGUN,PASS
26950,4,10,18,ATL,TB,1,10,34,SHOTGUN,PASS
26951,4,9,52,ATL,TB,1,20,24,SHOTGUN,PASS
26952,4,9,15,ATL,TB,2,9,35,SHOTGUN,PASS
26953,4,9,9,ATL,TB,3,9,35,SHOTGUN,PASS
26954,4,7,44,ATL,TB,1,10,45,SHOTGUN,PASS
26955,4,7,9,ATL,TB,1,10,64,SHOTGUN,PASS
26956,4,6,43,ATL,TB,2,2,72,SHOTGUN,RUSH
26957,4,6,13,ATL,TB,1,10,88,SHOTGUN,RUSH
26958,4,5,48,ATL,TB,2,6,92,NO HUDDLE SHOTGUN,PASS
26959,4,5,17,ATL,TB,3,1,97,NO HUDDLE SHOTGUN,RUSH
26960,4,5,0,ATL,TB,4,4,94,FIELD GOAL,KICK
26962,4,4,56,TB,ATL,1,10,20,UNDER CENTER,RUSH
26963,4,4,20,TB,ATL,2,5,25,UNDER CENTER,RUSH
26964,4,3,36,TB,ATL,3,6,24,SHOTGUN,PASS
26965,4,2,48,TB,ATL,1,10,31,UNDER CENTER,RUSH
26967,4,2,41,TB,ATL,2,4,37,UNDER CENTER,RUSH
26969,4,2,35,TB,ATL,3,1,40,UNDER CENTER,RUSH
26972,4,2,0,TB,ATL,4,1,40,UNDER CENTER,PASS
26973,4,1,52,ATL,TB,1,10,60,SHOTGUN,PASS
26974,4,1,8,ATL,TB,1,10,84,NO HUDDLE SHOTGUN,PASS
26975,4,1,4,ATL,TB,2,10,84,SHOTGUN,PASS
26977,4,0,23,ATL,TB,1,8,92,NO HUDDLE SHOTGUN,PASS
26980,4,0,16,TB,ATL,1,10,20,UNDER CENTER,RUSH
26983,5,15,0,TB,ATL,1,10,20,UNDER CENTER,PASS
26984,5,14,57,TB,ATL,2,10,20,SHOTGUN,PASS
26985,5,14,53,TB,ATL,2,10,20,SHOTGUN,PASS
26986,5,14,11,TB,ATL,3,3,27,SHOTGUN,PASS
26987,5,13,43,TB,ATL,1,10,31,UNDER CENTER,PASS
26988,5,13,36,TB,ATL,2,10,31,SHOTGUN,PASS
26989,5,13,33,TB,ATL,3,10,31,SHOTGUN,PASS
26990,5,12,49,TB,ATL,1,10,45,UNDER CENTER,RUSH
26991,5,12,5,TB,ATL,2,5,50,UNDER CENTER,RUSH
26992,5,11,27,TB,ATL,1,10,60,UNDER CENTER,RUSH
26993,5,10,44,TB,ATL,2,6,64,UNDER CENTER,RUSH
26994,5,10,12,TB,ATL,3,5,65,SHOTGUN,PASS
26995,5,9,34,TB,ATL,1,10,71,UNDER CENTER,PASS
26996,5,9,28,TB,ATL,1,10,87,UNDER CENTER,RUSH
26997,5,8,48,TB,ATL,2,8,89,UNDER CENTER,RUSH
26998,5,8,1,TB,ATL,3,4,93,SHOTGUN,PASS
27000,5,7,57,TB,ATL,4,9,88,FIELD GOAL,KICK
27002,5,7,47,ATL,TB,1,10,20,UNDER CENTER,PASS
27003,5,7,23,ATL,TB,1,10,39,UNDER CENTER,PASS
27004,5,6,48,ATL,TB,2,5,44,UNDER CENTER,PASS
27005,5,5,54,ATL,TB,3,7,42,SHOTGUN,PASS
27006,5,5,50,ATL,TB,4,7,42,SHOTGUN,PASS
27008,1,15,0,NO,NYG,1,10,20,SHOTGUN,PASS
27009,1,14,36,NO,NYG,2,5,25,UNDER CENTER,RUSH
27010,1,13,55,NO,NYG,3,5,25,SHOTGUN,PASS
27011,1,13,50,NO,NYG,4,5,25,PUNT,KICK
27012,1,13,40,NYG,NO,1,10,40,UNDER CENTER,PASS
27013,1,12,30,NYG,NO,2,9,60,SHOTGUN,PASS
27014,1,12,25,NYG,NO,3,9,60,SHOTGUN,PASS
27015,1,12,6,NYG,NO,1,10,72,UNDER CENTER,RUSH
27016,1,11,29,NYG,NO,2,14,68,SHOTGUN,PASS
27017,1,11,22,NYG,NO,1,8,92,UNDER CENTER,PASS
27018,1,10,56,NYG,NO,2,1,99,UNDER CENTER,RUSH
27019,1,10,23,NYG,NO,3,1,99,UNDER CENTER,RUSH
27020,1,9,43,NYG,NO,4,2,98,SHOTGUN,PASS
27023,1,9,39,NO,NYG,1,10,20,UNDER CENTER,PASS
27024,1,9,14,NO,NYG,1,10,37,UNDER CENTER,RUSH
27025,1,8,37,NO,NYG,2,7,40,SHOTGUN,PASS
27026,1,8,32,NO,NYG,3,7,40,SHOTGUN,PASS
27027,1,8,4,NO,NYG,1,10,65,NO HUDDLE,RUSH
27028,1,7,45,NO,NYG,2,9,66,UNDER CENTER,PASS
